SN,Code,Name
1,20MICRONS,20 Microns Limited
2,21STCENMGM,21st Century Management Services Limited
3,3IINFOTECH,3i Infotech Limited
4,3MINDIA,3M India Limited
5,3PLAND,3P Land Holdings Limited
6,5PAISA,5Paisa Capital Limited
7,63MOONS,63 moons technologies limited
8,A2ZINFRA,A2Z Infra Engineering Limited
9,AAKASH,Aakash Exploration Services Limited
10,AARON,Aaron Industries Limited
11,AARTIDRUGS,Aarti Drugs Limited
12,AARTIIND,Aarti Industries Limited
13,AARTISURF,Aarti Surfactants Limited
14,AARVEEDEN,Aarvee Denims & Exports Limited
15,AARVI,Aarvi Encon Limited
16,AAVAS,Aavas Financiers Limited
17,ABAN,Aban Offshore Limited
18,ABB,ABB India Limited
19,ABBOTINDIA,Abbott India Limited
20,ABCAPITAL,Aditya Birla Capital Limited
21,ABFRL,Aditya Birla Fashion and Retail Limited
22,ABMINTLTD,ABM International Limited
23,ACC,ACC Limited
24,ACCELYA,Accelya Solutions India Limited
25,ACCURACY,Accuracy Shipping Limited
26,ACE,Action Construction Equipment Limited
27,ACRYSIL,Acrysil Limited
28,ADANIENT,Adani Enterprises Limited
29,ADANIGREEN,Adani Green Energy Limited
30,ADANIPORTS,Adani Ports and Special Economic Zone Limited
31,ADANIPOWER,Adani Power Limited
32,ADANITRANS,Adani Transmission Limited
33,ADFFOODS,ADF Foods Limited
34,ADHUNIKIND,Adhunik Industries Limited
35,ADL,Archidply Decor Limited
36,ADORWELD,Ador Welding Limited
37,ADROITINFO,Adroit Infotech Limited
38,ADSL,Allied Digital Services Limited
39,ADVANIHOTR,Advani Hotels & Resorts (India) Limited
40,ADVENZYMES,Advanced Enzyme Technologies Limited
41,AEGISCHEM,Aegis Logistics Limited
42,AFFLE,Affle (India) Limited
43,AGARIND,Agarwal Industrial Corporation Limited
44,AGCNET,AGC Networks Limited
45,AGRITECH,Agri-Tech (India) Limited
46,AGROPHOS,Agro Phos India Limited
47,AHLADA,Ahlada Engineers Limited
48,AHLEAST,Asian Hotels (East) Limited
49,AHLUCONT,Ahluwalia Contracts (India) Limited
50,AHLWEST,Asian Hotels (West) Limited
51,AIAENG,AIA Engineering Limited
52,AIRAN,Airan Limited
53,AJANTPHARM,Ajanta Pharma Limited
54,AJMERA,Ajmera Realty & Infra India Limited
55,AKASH,Akash Infra-Projects Limited
56,AKG,Akg Exim Limited
57,AKSHARCHEM,AksharChem India Limited
58,AKSHOPTFBR,Aksh Optifibre Limited
59,AKZOINDIA,Akzo Nobel India Limited
60,ALANKIT,Alankit Limited
61,ALBERTDAVD,Albert David Limited
62,ALEMBICLTD,Alembic Limited
63,ALICON,Alicon Castalloy Limited
64,ALKALI,Alkali Metals Limited
65,ALKEM,Alkem Laboratories Limited
66,ALKYLAMINE,Alkyl Amines Chemicals Limited
67,ALLCARGO,Allcargo Logistics Limited
68,ALLSEC,Allsec Technologies Limited
69,ALMONDZ,Almondz Global Securities Limited
70,ALOKINDS,Alok Industries Limited
71,ALPA,Alpa Laboratories Limited
72,ALPHAGEO,Alphageo (India) Limited
73,ALPSINDUS,Alps Industries Limited
74,AMARAJABAT,Amara Raja Batteries Limited
75,AMBER,Amber Enterprises India Limited
76,AMBIKCO,Ambika Cotton Mills Limited
77,AMBUJACEM,Ambuja Cements Limited
78,AMDIND,AMD Industries Limited
79,AMJLAND,Amj Land Holdings Limited
80,AMRUTANJAN,Amrutanjan Health Care Limited
81,ANANTRAJ,Anant Raj Limited
82,ANDHRACEMT,Andhra Cements Limited
83,ANDHRAPAP,ANDHRA PAPER LIMITED
84,ANDHRSUGAR,The Andhra Sugars Limited
85,ANGELBRKG,Angel Broking Limited
86,ANIKINDS,Anik Industries Limited
87,ANKITMETAL,Ankit Metal & Power Limited
88,ANSALAPI,Ansal Properties & Infrastructure Limited
89,ANSALHSG,Ansal Housing Limited
90,ANUP,The Anup Engineering Limited
91,APARINDS,Apar Industries Limited
92,APCL,Anjani Portland Cement Limited
93,APCOTEXIND,Apcotex Industries Limited
94,APEX,Apex Frozen Foods Limited
95,APLAPOLLO,APL Apollo Tubes Limited
96,APLLTD,Alembic Pharmaceuticals Limited
97,APOLLO,Apollo Micro Systems Limited
98,APOLLOHOSP,Apollo Hospitals Enterprise Limited
99,APOLLOPIPE,Apollo Pipes Limited
100,APOLLOTYRE,Apollo Tyres Limited
101,APOLSINHOT,Apollo Sindoori Hotels Limited
102,APTECHT,Aptech Limited
103,ARCHIDPLY,Archidply Industries Limited
104,ARCHIES,Archies Limited
105,ARENTERP,Rajdarshan Industries Limited
106,ARIES,Aries Agro Limited
107,ARIHANT,Arihant Foundations & Housing Limited
108,ARIHANTSUP,Arihant Superstructures Limited
109,ARMANFIN,Arman Financial Services Limited
110,AROGRANITE,Aro Granite Industries Limited
111,ARROWGREEN,Arrow Greentech Limited
112,ARSHIYA,Arshiya Limited
113,ARSSINFRA,ARSS Infrastructure Projects Limited
114,ARTEMISMED,Artemis Medicare Services Limited
115,ARVIND,Arvind Limited
116,ARVINDFASN,Arvind Fashions Limited
117,ARVSMART,Arvind SmartSpaces Limited
118,ASAHIINDIA,Asahi India Glass Limited
119,ASAHISONG,Asahi Songwon Colors Limited
120,ASAL,Automotive Stampings and Assemblies Limited
121,ASALCBR,Associated Alcohols & Breweries Ltd.
122,ASHAPURMIN,Ashapura Minechem Limited
123,ASHIANA,Ashiana Housing Limited
124,ASHIMASYN,Ashima Limited
125,ASHOKA,Ashoka Buildcon Limited
126,ASHOKLEY,Ashok Leyland Limited
127,ASIANHOTNR,Asian Hotels (North) Limited
128,ASIANPAINT,Asian Paints Limited
129,ASIANTILES,Asian Granito India Limited
130,ASPINWALL,Aspinwall and Company Limited
131,ASTEC,Astec LifeSciences Limited
132,ASTERDM,Aster DM Healthcare Limited
133,ASTRAL,Astral Poly Technik Limited
134,ASTRAMICRO,Astra Microwave Products Limited
135,ASTRAZEN,AstraZeneca Pharma India Limited
136,ASTRON,Astron Paper & Board Mill Limited
137,ATFL,Agro Tech Foods Limited
138,ATGL,Adani Total Gas Limited
139,ATLANTA,Atlanta  Limited
140,ATUL,Atul Limited
141,ATULAUTO,Atul Auto Limited
142,AUBANK,AU Small Finance Bank Limited
143,AURIONPRO,Aurionpro Solutions Limited
144,AUROPHARMA,Aurobindo Pharma Limited
145,AUSOMENT,Ausom Enterprise Limited
146,AUTOAXLES,Automotive Axles Limited
147,AUTOIND,Autoline Industries Limited
148,AUTOLITIND,Autolite (India) Limited
149,AVADHSUGAR,Avadh Sugar & Energy Limited
150,AVANTIFEED,Avanti Feeds Limited
151,AVTNPL,AVT Natural Products Limited
152,AWHCL,Antony Waste Handling Cell Limited
153,AXISBANK,Axis Bank Limited
154,AXISCADES,AXISCADES Technologies Limited
155,AYMSYNTEX,AYM Syntex Limited
156,BAFNAPH,Bafna Pharmaceuticals Limited
157,BAGFILMS,B.A.G Films and Media Limited
158,BAJAJ-AUTO,Bajaj Auto Limited
159,BAJAJCON,Bajaj Consumer Care Limited
160,BAJAJELEC,Bajaj Electricals Limited
161,BAJAJFINSV,Bajaj Finserv Limited
162,BAJAJHIND,Bajaj Hindusthan Sugar Limited
163,BAJAJHLDNG,Bajaj Holdings & Investment Limited
164,BAJFINANCE,Bajaj Finance Limited
165,BALAJITELE,Balaji Telefilms Limited
166,BALAMINES,Balaji Amines Limited
167,BALAXI,BALAXI PHARMACEUTICALS LIMITED
168,BALKRISHNA,Balkrishna Paper Mills Limited
169,BALKRISIND,Balkrishna Industries Limited
170,BALLARPUR,Ballarpur Industries Limited
171,BALMLAWRIE,Balmer Lawrie & Company Limited
172,BALPHARMA,Bal Pharma Limited
173,BALRAMCHIN,Balrampur Chini Mills Limited
174,BANARBEADS,Banaras Beads Limited
175,BANARISUG,Bannari Amman Sugars Limited
176,BANCOINDIA,Banco Products (I) Limited
177,BANDHANBNK,Bandhan Bank Limited
178,BANG,Bang Overseas Limited
179,BANKA,Banka BioLoo Limited
180,BANKBARODA,Bank of Baroda
181,BANKINDIA,Bank of India
182,BANSWRAS,Banswara Syntex Limited
183,BARTRONICS,Bartronics India Limited
184,BASF,BASF India Limited
185,BASML,Bannari Amman Spinning Mills Limited
186,BATAINDIA,Bata India Limited
187,BAYERCROP,Bayer Cropscience Limited
188,BBL,Bharat Bijlee Limited
189,BBTC,Bombay Burmah Trading Corporation Limited
190,BCG,Brightcom Group Limited
191,BCP,B.C. Power Controls Ltd
192,BDL,Bharat Dynamics Limited
193,BEARDSELL,Beardsell Limited
194,BECTORFOOD,Mrs. Bectors Food Specialities Limited
195,BEDMUTHA,Bedmutha Industries Limited
196,BEL,Bharat Electronics Limited
197,BEML,BEML Limited
198,BEPL,Bhansali Engineering Polymers Limited
199,BERGEPAINT,Berger Paints (I) Limited
200,BESTAGRO,Best Agrolife Limited
201,BFINVEST,BF Investment Limited
202,BFUTILITIE,BF Utilities Limited
203,BGRENERGY,BGR Energy Systems Limited
204,BHAGERIA,Bhageria Industries Limited
205,BHAGYANGR,Bhagyanagar India Limited
206,BHAGYAPROP,Bhagyanagar Properties Limited
207,BHANDARI,Bhandari Hosiery Exports Limited
208,BHARATFORG,Bharat Forge Limited
209,BHARATGEAR,Bharat Gears Limited
210,BHARATRAS,Bharat Rasayan Limited
211,BHARATWIRE,Bharat Wire Ropes Limited
212,BHARTIARTL,Bharti Airtel Limited
213,BHEL,Bharat Heavy Electricals Limited
214,BIGBLOC,Bigbloc Construction Limited
215,BIL,Bhartiya International Limited
216,BINDALAGRO,Oswal Chemicals & Fertilizers Limited
217,BIOCON,Biocon Limited
218,BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited
219,BIRLACABLE,Birla Cable Limited
220,BIRLACORPN,Birla Corporation Limited
221,BIRLAMONEY,Aditya Birla Money Limited
222,BIRLATYRE,Birla Tyres Limited
223,BKMINDST,Bkm Industries Limited
224,BLBLIMITED,BLB Limited
225,BLISSGVS,Bliss GVS Pharma Limited
226,BLKASHYAP,B. L. Kashyap and Sons Limited
227,BLS,BLS International Services Limited
228,BLUEDART,Blue Dart Express Limited
229,BLUESTARCO,Blue Star Limited
230,BODALCHEM,Bodal Chemicals Limited
231,BOMDYEING,Bombay Dyeing & Mfg Company Limited
232,BOROLTD,Borosil Limited
233,BORORENEW,BOROSIL RENEWABLES LIMITED
234,BOSCHLTD,Bosch Limited
235,BPCL,Bharat Petroleum Corporation Limited
236,BPL,BPL Limited
237,BRFL,Bombay Rayon Fashions Limited
238,BRIGADE,Brigade Enterprises Limited
239,BRITANNIA,Britannia Industries Limited
240,BRNL,Bharat Road Network Limited
241,BROOKS,Brooks Laboratories Limited
242,BSE,BSE Limited
243,BSELINFRA,BSEL Infrastructure Realty Limited
244,BSHSL,Bombay Super Hybrid Seeds Limited
245,BSL,BSL Limited
246,BSOFT,BIRLASOFT LIMITED
247,BURGERKING,Burger King India Limited
248,BURNPUR,Burnpur Cement Limited
249,BUTTERFLY,Butterfly Gandhimathi Appliances Limited
250,BVCL,Barak Valley Cements Limited
251,BYKE,The Byke Hospitality Ltd
252,CADILAHC,Cadila Healthcare Limited
253,CALSOFT,California Software Company Limited
254,CAMLINFINE,Camlin Fine Sciences Limited
255,CAMS,Computer Age Management Services Limited
256,CANBK,Canara Bank
257,CANDC,C & C Constructions Limited
258,CANFINHOME,Can Fin Homes Limited
259,CANTABIL,Cantabil Retail India Limited
260,CAPACITE,Capacit'e Infraprojects Limited
261,CAPLIPOINT,Caplin Point Laboratories Limited
262,CAPTRUST,Capital Trust Limited
263,CARBORUNIV,Carborundum Universal Limited
264,CAREERP,Career Point Limited
265,CARERATING,CARE Ratings Limited
266,CASTROLIND,Castrol India Limited
267,CCCL,Consolidated Construction Consortium Limited
268,CCHHL,Country Club Hospitality & Holidays Limited
269,CCL,CCL Products (India) Limited
270,CDSL,Central Depository Services (India) Limited
271,CEATLTD,CEAT Limited
272,CEBBCO,Commercial Engineers & Body Builders Co Limited
273,CELEBRITY,Celebrity Fashions Limited
274,CENTENKA,Century Enka Limited
275,CENTEXT,Century Extrusions Limited
276,CENTRALBK,Central Bank of India
277,CENTRUM,Centrum Capital Limited
278,CENTUM,Centum Electronics Limited
279,CENTURYPLY,Century Plyboards (India) Limited
280,CENTURYTEX,Century Textiles & Industries Limited
281,CERA,Cera Sanitaryware Limited
282,CEREBRAINT,Cerebra Integrated Technologies Limited
283,CESC,CESC Limited
284,CGCL,Capri Global Capital Limited
285,CGPOWER,CG Power and Industrial Solutions Limited
286,CHALET,Chalet Hotels Limited
287,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited
288,CHEMBOND,Chembond Chemicals Ltd
289,CHEMCON,Chemcon Speciality Chemicals Limited
290,CHEMFAB,Chemfab Alkalis Limited
291,CHENNPETRO,Chennai Petroleum Corporation Limited
292,CHOLAFIN,Cholamandalam Investment and Finance Company Limited
293,CHOLAHLDNG,Cholamandalam Financial Holdings Limited
294,CIGNITITEC,Cigniti Technologies Limited
295,CINELINE,Cineline India Limited
296,CINEVISTA,Cinevista Limited
297,CIPLA,Cipla Limited
298,CLEDUCATE,CL Educate Limited
299,CLNINDIA,Clariant Chemicals (India) Limited
300,CMICABLES,CMI Limited
301,CNOVAPETRO,CIL Nova Petrochemicals Limited
302,COALINDIA,Coal India Limited
303,COCHINSHIP,Cochin Shipyard Limited
304,COFORGE,Coforge Limited
305,COLPAL,Colgate Palmolive (India) Limited
306,COMPINFO,Compuage Infocom Limited
307,COMPUSOFT,Compucom Software Limited
308,CONCOR,Container Corporation of India Limited
309,CONFIPET,Confidence Petroleum India Limited
310,CONSOFINVT,Consolidated Finvest & Holdings Limited
311,CONTROLPR,Control Print Limited
312,CORALFINAC,Coral India Finance & Housing Limited
313,CORDSCABLE,Cords Cable Industries Limited
314,COROMANDEL,Coromandel International Limited
315,COSMOFILMS,Cosmo Films Limited
316,COUNCODOS,Country Condo's Limited
317,COX&KINGS,Cox & Kings Limited
318,CREATIVE,Creative Peripherals and Distribution Limited
319,CREATIVEYE,Creative Eye Limited
320,CREDITACC,CREDITACCESS GRAMEEN LIMITED
321,CREST,Crest Ventures Limited
322,CRISIL,CRISIL Limited
323,CROMPTON,Crompton Greaves Consumer Electricals Limited
324,CSBBANK,CSB Bank Limited
325,CTE,Cambridge Technology Enterprises Limited
326,CUB,City Union Bank Limited
327,CUBEXTUB,Cubex Tubings Limited
328,CUMMINSIND,Cummins India Limited
329,CUPID,Cupid Limited
330,CYBERMEDIA,Cyber Media (India) Limited
331,CYBERTECH,Cybertech Systems And Software Limited
332,CYIENT,Cyient Limited
333,DAAWAT,LT Foods Limited
334,DABUR,Dabur India Limited
335,DALBHARAT,Dalmia Bharat Limited
336,DALMIASUG,Dalmia Bharat Sugar and Industries Limited
337,DAMODARIND,Damodar Industries Limited
338,DANGEE,Dangee Dums Limited
339,DATAMATICS,Datamatics Global Services Limited
340,DBCORP,D.B.Corp Limited
341,DBL,Dilip Buildcon Limited
342,DBREALTY,D B Realty Limited
343,DBSTOCKBRO,DB (International) Stock Brokers Limited
344,DCAL,Dishman Carbogen Amcis Limited
345,DCBBANK,DCB Bank Limited
346,DCM,DCM  Limited
347,DCMFINSERV,DCM Financial Services Limited
348,DCMNVL,DCM Nouvelle Limited
349,DCMSHRIRAM,DCM Shriram Limited
350,DCW,DCW Limited
351,DECCANCE,Deccan Cements Limited
352,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited
353,DEEPAKNTR,Deepak Nitrite Limited
354,DEEPENR,DEEP ENERGY RESOURCES LIMITED
355,DELTACORP,Delta Corp Limited
356,DELTAMAGNT,Delta Manufacturing Limited
357,DEN,Den Networks Limited
358,DENORA,De Nora India Limited
359,DFMFOODS,DFM Foods Limited
360,DGCONTENT,Digicontent Limited
361,DHAMPURSUG,Dhampur Sugar Mills Limited
362,DHANBANK,Dhanlaxmi Bank Limited
363,DHANI,Dhani Services Limited
364,DHANUKA,Dhanuka Agritech Limited
365,DHARSUGAR,Dharani Sugars & Chemicals Limited
366,DHFL,Dewan Housing Finance Corporation Limited
367,DHUNINV,Dhunseri Investments Limited
368,DIAMONDYD,Prataap Snacks Limited
369,DICIND,DIC India Limited
370,DIGISPICE,DiGiSPICE Technologies Limited
371,DIGJAMLTD,Digjam Limited
372,DISHTV,Dish TV India Limited
373,DIVISLAB,Divi's Laboratories Limited
374,DIXON,Dixon Technologies (India) Limited
375,DLF,DLF Limited
376,DLINKINDIA,D-Link (India) Limited
377,DMART,Avenue Supermarts Limited
378,DOLAT,Dolat Investments Limited
379,DOLLAR,Dollar Industries Limited
380,DONEAR,Donear Industries Limited
381,DPABHUSHAN,D. P. Abhushan Limited
382,DPSCLTD,DPSC Limited
383,DPWIRES,D P Wires Limited
384,DREDGECORP,Dredging Corporation of India Limited
385,DRREDDY,Dr. Reddy's Laboratories Limited
386,DSSL,Dynacons Systems & Solutions Limited
387,DTIL,Dhunseri Tea & Industries Limited
388,DUCON,Ducon Infratechnologies Limited
389,DVL,Dhunseri Ventures Limited
390,DWARKESH,Dwarikesh Sugar Industries Limited
391,DYNAMATECH,Dynamatic Technologies Limited
392,DYNPRO,Dynemic Products Limited
393,EASUNREYRL,Easun Reyrolle Limited
394,EBIXFOREX,EBIXCASH WORLD MONEY INDIA LIMITED
395,ECLERX,eClerx Services Limited
396,EDELWEISS,Edelweiss Financial Services Limited
397,EDUCOMP,Educomp Solutions Limited
398,EICHERMOT,Eicher Motors Limited
399,EIDPARRY,EID Parry India Limited
400,EIHAHOTELS,EIH Associated Hotels Limited
401,EIHOTEL,EIH Limited
402,EIMCOELECO,Eimco Elecon (India) Limited
403,EKC,Everest Kanto Cylinder Limited
404,ELECON,Elecon Engineering Company Limited
405,ELECTCAST,Electrosteel Castings Limited
406,ELECTHERM,Electrotherm (India) Limited
407,ELGIEQUIP,Elgi Equipments Limited
408,ELGIRUBCO,Elgi Rubber Company Limited
409,EMAMILTD,Emami Limited
410,EMAMIPAP,Emami Paper Mills Limited
411,EMAMIREAL,Emami Realty Limited
412,EMCO,Emco Limited
413,EMKAY,Emkay Global Financial Services Limited
414,EMMBI,Emmbi Industries Limited
415,ENDURANCE,Endurance Technologies Limited
416,ENERGYDEV,Energy Development Company Limited
417,ENGINERSIN,Engineers India Limited
418,ENIL,Entertainment Network (India) Limited
419,EPL,EPL Limited
420,EQUITAS,Equitas Holdings Limited
421,EQUITASBNK,Equitas Small Finance Bank Limited
422,ERIS,Eris Lifesciences Limited
423,EROSMEDIA,Eros International Media Limited
424,ESABINDIA,Esab India Limited
425,ESCORTS,Escorts Limited
426,ESSARSHPNG,Essar Shipping Limited
427,ESTER,Ester Industries Limited
428,EUROTEXIND,Eurotex Industries and Exports Limited
429,EVEREADY,Eveready Industries India Limited
430,EVERESTIND,Everest Industries Limited
431,EXCEL,Excel Realty N Infra Limited
432,EXCELINDUS,Excel Industries Limited
433,EXIDEIND,Exide Industries Limited
434,EXPLEOSOL,Expleo Solutions Limited
435,FACT,Fertilizers and Chemicals Travancore Limited
436,FAIRCHEMOR,Fairchem Organics Limited
437,FCL,Fineotex Chemical Limited
438,FCONSUMER,Future Consumer Limited
439,FCSSOFT,FCS Software Solutions Limited
440,FDC,FDC Limited
441,FEDERALBNK,The Federal Bank  Limited
442,FEL,Future Enterprises Limited
443,FELDVR,Future Enterprises Limited
444,FIEMIND,Fiem Industries Limited
445,FILATEX,Filatex India Limited
446,FINCABLES,Finolex Cables Limited
447,FINEORG,Fine Organic Industries Limited
448,FINPIPE,Finolex Industries Limited
449,FLEXITUFF,Flexituff Ventures International Limited
450,FLFL,Future Lifestyle Fashions Limited
451,FLUOROCHEM,Gujarat Fluorochemicals Limited
452,FMGOETZE,Federal-Mogul Goetze (India) Limited.
453,FMNL,Future Market Networks Limited
454,FORCEMOT,FORCE MOTORS LTD
455,FORTIS,Fortis Healthcare Limited
456,FOSECOIND,Foseco India Limited
457,FRETAIL,Future Retail Limited
458,FSC,Future Supply Chain Solutions Limited
459,FSL,Firstsource Solutions Limited
460,GABRIEL,Gabriel India Limited
461,GAEL,Gujarat Ambuja Exports Limited
462,GAIL,GAIL (India) Limited
463,GAL,Gyscoal Alloys Limited
464,GALAXYSURF,Galaxy Surfactants Limited
465,GALLANTT,Gallantt Metal Limited
466,GALLISPAT,Gallantt Ispat Limited
467,GAMMNINFRA,Gammon Infrastructure Projects Limited
468,GANDHITUBE,Gandhi Special Tubes Limited
469,GANECOS,Ganesha Ecosphere Limited
470,GANESHHOUC,Ganesh Housing Corporation Limited
471,GANGESSECU,Ganges Securities Limited
472,GARFIBRES,Garware Technical Fibres Limited
473,GATI,GATI Limited
474,GAYAHWS,Gayatri Highways Limited
475,GAYAPROJ,Gayatri Projects Limited
476,GBGLOBAL,GB Global Limited
477,GDL,Gateway Distriparks Limited
478,GEECEE,GeeCee Ventures Limited
479,GEEKAYWIRE,Geekay Wires Limited
480,GENCON,Generic Engineering Construction and Projects Limited
481,GENESYS,Genesys International Corporation Limited
482,GENUSPAPER,Genus Paper & Boards Limited
483,GENUSPOWER,Genus Power Infrastructures Limited
484,GEOJITFSL,Geojit Financial Services Limited
485,GEPIL,GE Power India Limited
486,GESHIP,The Great Eastern Shipping Company Limited
487,GET&D,GE T&D India Limited
488,GFLLIMITED,GFL Limited
489,GFSTEELS,Grand Foundry Limited
490,GHCL,GHCL Limited
491,GICHSGFIN,GIC Housing Finance Limited
492,GICRE,General Insurance Corporation of India
493,GILLANDERS,Gillanders Arbuthnot & Company Limited
494,GILLETTE,Gillette India Limited
495,GINNIFILA,Ginni Filaments Limited
496,GIPCL,Gujarat Industries Power Company Limited
497,GISOLUTION,GI Engineering Solutions Limited
498,GKWLIMITED,GKW Limited
499,GLAND,Gland Pharma Limited
500,GLAXO,GlaxoSmithKline Pharmaceuticals Limited
501,GLENMARK,Glenmark Pharmaceuticals Limited
502,GLFL,Gujarat Lease Financing Limited
503,GLOBAL,Global Education Limited
504,GLOBALVECT,Global Vectra Helicorp Limited
505,GLOBE,Globe Textiles (India) Limited
506,GLOBOFFS,Global Offshore Services Limited
507,GLOBUSSPR,Globus Spirits Limited
508,GMBREW,GM Breweries Limited
509,GMDCLTD,Gujarat Mineral Development Corporation Limited
510,GMMPFAUDLR,GMM Pfaudler Limited
511,GMRINFRA,GMR Infrastructure Limited
512,GNA,GNA Axles Limited
513,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited
514,GOACARBON,Goa Carbon Limited
515,GOCLCORP,GOCL Corporation Limited
516,GODFRYPHLP,Godfrey Phillips India Limited
517,GODHA,Godha Cabcon & Insulation Limited
518,GODREJAGRO,Godrej Agrovet Limited
519,GODREJCP,Godrej Consumer Products Limited
520,GODREJIND,Godrej Industries Limited
521,GODREJPROP,Godrej Properties Limited
522,GOENKA,Goenka Diamond and Jewels Limited
523,GOKEX,Gokaldas Exports Limited
524,GOKUL,Gokul Refoils and Solvent Limited
525,GOKULAGRO,Gokul Agro Resources Limited
526,GOLDENTOBC,Golden Tobacco Limited
527,GOLDIAM,Goldiam International Limited
528,GOODLUCK,Goodluck India Limited
529,GOODYEAR,Goodyear India Limited
530,GPIL,Godawari Power And Ispat limited
531,GPPL,Gujarat Pipavav Port Limited
532,GPTINFRA,GPT Infraprojects Limited
533,GRANULES,Granules India Limited
534,GRAPHITE,Graphite India Limited
535,GRASIM,Grasim Industries Limited
536,GRAVITA,Gravita India Limited
537,GREAVESCOT,Greaves Cotton Limited
538,GREENLAM,Greenlam Industries Limited
539,GREENPANEL,Greenpanel Industries Limited
540,GREENPLY,Greenply Industries Limited
541,GREENPOWER,Orient Green Power Company Limited
542,GRINDWELL,Grindwell Norton Limited
543,GROBTEA,The Grob Tea Company Limited
544,GRPLTD,GRP Limited
545,GRSE,Garden Reach Shipbuilders & Engineers Limited
546,GSCLCEMENT,Gujarat Sidhee Cement Limited
547,GSFC,Gujarat State Fertilizers & Chemicals Limited
548,GSPL,Gujarat State Petronet Limited
549,GSS,GSS Infotech Limited
550,GTL,GTL Limited
551,GTLINFRA,GTL Infrastructure Limited
552,GTNIND,GTN Industries Limited
553,GTNTEX,GTN Textiles Limited
554,GTPL,GTPL Hathway Limited
555,GUFICBIO,Gufic Biosciences Limited
556,GUJALKALI,Gujarat Alkalies and Chemicals Limited
557,GUJAPOLLO,Gujarat Apollo Industries Limited
558,GUJGASLTD,Gujarat Gas Limited
559,GUJRAFFIA,Gujarat Raffia Industries Limited
560,GULFOILLUB,Gulf Oil Lubricants India Limited
561,GULFPETRO,GP Petroleums Limited
562,GULPOLY,Gulshan Polyols Limited
